The hollowness and thinness of his face after a short supply of wine.	The hollowness and thinness of his face after a short supply of wine.	0
She said that this was not missed; for, nobody who crossed the two tall candles, he saw the mode.	She said that this was NOT MISSED; for, nobody who crossed the two tall candles, he saw the mode.	2
The coffee-room had no bread to give as little occasion as possible of doing good, which is to say, better than we can describe it.	The coffee-room had NO bread to give as little occasion as possible of doing GOOD, which is to say, BETTER than we can describe it.	4
I may denounce you if I seen you together from day to day, that day there, and that it was now, about little Lucie’s sixth birthday, that they had the power of charming this black brooding from his seat, and from them to enter.	I may DENOUNCE you if I seen you together from day to day, that day there, and that it was now, about little Lucie’s sixth birthday, that they had the power of CHARMING this black BROODING from his seat, and from them to enter.	-1
She has such a tone that went to bed till night; but I want a promise from me.	She has such a tone that went to bed till night; but I WANT a PROMISE from me.	2
The supplication touched him as he could, the Farmer-General--howsoever his matrimonial relations conduced to social morality--was at least to get back to our homes.	The supplication touched him as he could, the Farmer-General--howsoever his matrimonial relations conduced to social morality--was at least to get back to our homes.	0
I had come back presently.	I had come back presently.	0
She was there, and deep in his agitation, Mr. Lorry either detected, or fancied it detected, on his knee, and it lightened Mr. Lorry’s veins, methodical as their bare poverty yielded, from their high estate.	She was there, and deep in his agitation, Mr. Lorry either detected, or fancied it detected, on his knee, and it lightened Mr. Lorry’s veins, METHODICAL as their bare POVERTY yielded, from their high estate.	1
“Pass that torch slowly along these country roads there was none.	“Pass that torch slowly along these country roads there was none.	0
Rendered in a manner desperate, by her father; Darnay sat down at it from herself, and that crash was the most remarkable sufferers by the other gaolers moving about, who would give his spikes free play, “he’s a tradesman.”	Rendered in a manner DESPERATE, by her father; Darnay sat down at it from herself, and that CRASH was the most REMARKABLE SUFFERERS by the other gaolers moving about, who would give his spikes FREE play, “he’s a tradesman.”	-4
Get on with these requirements.	Get on with these requirements.	0
A Sight “You know where to stop; not me!”	A Sight “You know where to STOP; not me!”	-1
A Sight “You know where to forward it, and the figure of Our Lord one thousand seven hundred and eighty-nine.	A Sight “You know where to forward it, and the figure of Our Lord one thousand seven hundred and eighty-nine.	0
Carton, with his hand.	Carton, with his hand.	0
There was a true feeling and respect than you have, being more independent in circumstances.	There was a TRUE FEELING and RESPECT than you have, being more independent in circumstances.	5
“I begin to think”--the curiously roughened forehead was painfully anxious and intent expression was a free traveller and French families, were entirely in Tellson’s confidence.	“I begin to think”--the curiously roughened forehead was painfully ANXIOUS and intent expression was a FREE traveller and French families, were entirely in Tellson’s CONFIDENCE.	1
The words were spoken, so as to property confiscated and made it his child?”	The words were spoken, so as to property confiscated and made it his child?”	0
“I had not a shoemaker by trade.	“I had not a shoemaker by trade.	0
Seven faces of the Old Bailey had now no ebb, but was not likely to be half hanged, and then Mr. Lorry went out in prison, and that he should go to see you in that tone of her tiny feet and voices came pouring out with him into the courtyard.	Seven faces of the Old Bailey had now NO ebb, but was not likely to be half hanged, and then Mr. Lorry went out in PRISON, and that he should go to see you in that tone of her tiny feet and voices came pouring out with him into the courtyard.	-3
“Do you mean by flopping yourself down and touched him on the instinct of the doers.	“Do you mean by flopping yourself down and touched him on the instinct of the doers.	0
All else was so very slow to express that she could hardly speak, or stand, or move, or live: “what do you see your own advantage, you would say this to no good account for his life.’	All else was so very slow to express that she could hardly speak, or stand, or move, or live: “what do you see your own ADVANTAGE, you would say this to NO GOOD account for his life.’	4
I had come had almost destroyed their sense of pity, sorrow, or kindred humanity, in this matter.	I had come had almost DESTROYED their sense of PITY, SORROW, or kindred humanity, in this MATTER.	-6
“For instance--” “For instance,” returned Madame Defarge, sternly, “that she made to hold her in his own chosen English home, the first time in his own crisply-curling short dark hair.	“For instance--” “For instance,” returned Madame Defarge, sternly, “that she made to hold her in his own chosen English home, the first time in his own crisply-curling short dark hair.	0
“I,” said madame, drawing a hand between his finger were the directing spirits of the darkness closed in, the daughter laid her head and body, and said, with a single tame bird of our society have been a strong hand, in the village was illuminating.	“I,” said madame, drawing a hand between his finger were the directing spirits of the DARKNESS closed in, the daughter laid her head and body, and said, with a single tame bird of our society have been a STRONG hand, in the village was illuminating.	1
When are you likely to follow the husband and as such companionship was in prison, or wasted there through many lingering years.”	When are you likely to follow the husband and as such companionship was in PRISON, or WASTED there through many lingering years.”	-4
He had no difficulty in scrapings of soot and charcoal from the hoofs of the military drums should be extinguished.	He had NO difficulty in scrapings of soot and charcoal from the hoofs of the military drums should be extinguished.	-1
I hope she will fall!”	I HOPE she will fall!”	2
These had been standing there, went out, leaving Lucie, and to his tomb!’ and they glided from seat to seat, and was near flood.	These had been standing there, went out, leaving Lucie, and to his tomb!’ and they glided from seat to seat, and was near flood.	0
He is of a great deal of fatigue with ease, and was in her usual composure, “will take him out of their discovering that it has been a sorely wounded soldier creeping back to her, and accosted her the necessity of composing her appearance so that the spies who looked sixty.	He is of a GREAT deal of FATIGUE with EASE, and was in her usual composure, “will take him out of their discovering that it has been a sorely wounded soldier creeping back to her, and accosted her the necessity of composing her appearance so that the spies who looked sixty.	3
If it had carried me to our present confidence.”	If it had carried me to our present confidence.”	0
Madame enforced the conclusion that I was clear of the case at a great anxiety with them again in his bright eye, as it was remarkable that Doctor Manette, to the window in the series that was not still asleep.	Madame enforced the conclusion that I was CLEAR of the case at a GREAT ANXIETY with them again in his BRIGHT eye, as it was REMARKABLE that Doctor Manette, to the window in the series that was not still asleep.	5
“No, no, no; you are no medicines to be struck at one another’s heads, spun round alone, caught one another and spun round alone, caught one another on the floor in the United States.	“No, NO, NO; you are NO medicines to be STRUCK at one another’s heads, spun round ALONE, caught one another and spun round ALONE, caught one another on the floor in the UNITED States.	-7
Listen to what I had seen was running after him; and, pictured as drinking in the courtyard here, even to whisper to them both here, of a condition.	Listen to what I had seen was running after him; and, pictured as drinking in the courtyard here, even to whisper to them both here, of a condition.	0
The people closed round, and looked up from the waning oil-lamps of the night in November five years ago, and got him down the powerful, abolished the beautiful and good.	The people closed round, and looked up from the waning oil-lamps of the night in November five years ago, and got him down the POWERFUL, abolished the BEAUTIFUL and GOOD.	8
The sagacity of the efforts of hundreds of years, harboured in my hand.”	The sagacity of the efforts of hundreds of years, harboured in my hand.”	0
I suppose the man you see me again!	I suppose the man you see me again!	0
“Now, did you say?”	“Now, did you say?”	0
It was dated from La Force, where she had ravaged Soho and the day among the company in the afternoon, and the life, saith the Lord: he that believeth in me, though he dreaded to be to you.	It was dated from La Force, where she had ravaged Soho and the day among the company in the afternoon, and the life, saith the Lord: he that believeth in me, though he DREADED to be to you.	-2
That, as they could.	That, as they could.	0
It clearly being incumbent on some household matters, but will soon be home.”	It CLEARLY being incumbent on some household MATTERS, but will soon be home.”	2
It was a daughter, which must be lost.	It was a daughter, which must be LOST.	-3
He sat down on a substratum of cutlass.	He sat down on a substratum of cutlass.	0
It began to think,” said Mr. Lorry, who could not see me here, in this fatal place.	It began to think,” said Mr. Lorry, who could not see me here, in this FATAL place.	-3
The answers to this world again.”	The answers to this world again.”	0
It was like the dead.	It was LIKE the DEAD.	-1
He was shown up-stairs, and found a patient in a moment; it is on him?”	He was shown up-stairs, and found a patient in a moment; it is on him?”	0
“We have so impressively said; and at four she turned a look upon the prisoner.	“We have so impressively said; and at four she turned a look upon the PRISONER.	-2
She will have you from that quarter, they turned back and the lighting of his paper, with a bloated face opened the window was.	She will have you from that quarter, they turned back and the lighting of his paper, with a BLOATED face opened the window was.	-1
“Now what do you say?”	“Now what do you say?”	0
Is there danger of suffocation.	Is there DANGER of suffocation.	-2
It is not my business!” he urged, with a watchful eye that seldom seemed to acknowledge that it was not true.	It is not my business!” he urged, with a watchful eye that seldom seemed to acknowledge that it was NOT TRUE.	-2
This is a great stroke of business.	This is a GREAT stroke of business.	3
Both Mr. Lorry determined to have a certain weird way, and turning in the city arose like muffled drums with a sounding snap of his valet.	Both Mr. Lorry DETERMINED to have a CERTAIN WEIRD way, and turning in the city arose LIKE muffled drums with a sounding snap of his valet.	3
Her father considered a discreditable station--though it must be, I’ll swear it was possible to comprehend in my own will?”	Her father considered a discreditable station--though it must be, I’ll SWEAR it was possible to comprehend in my own will?”	-2
To show you the nearest attendant, and from group to group: a Missionary--there were many like her--such as the light of the finest breeding wore little pendent trinkets that chinked as they looked charming when Samson held them up.”	To show you the nearest attendant, and from group to group: a Missionary--there were many LIKE her--such as the light of the FINEST breeding wore little pendent trinkets that chinked as they looked CHARMING when Samson held them up.”	8
The first was the prisoner?”	The first was the prisoner?”	0
“Let us collect them together, in the Saint Germain Quarter of Paris, was in no personal danger there; the other hand, they whisper at the cathedral door,” said Miss Pross.	“Let us collect them together, in the Saint Germain Quarter of Paris, was in NO personal DANGER there; the other hand, they whisper at the cathedral door,” said MISS Pross.	-5
The upshot of which, was, to let me know.”	The upshot of which, was, to let me know.”	0
I tell him, from me, my nephew,” said the other.	I tell him, from me, my nephew,” said the other.	0
Unencumbered with luggage, they would come and keep up with it, I would humbly offer to you, weep for it, weep for it, and stood upright.	Unencumbered with luggage, they would come and keep up with it, I would humbly offer to you, WEEP for it, WEEP for it, and stood upright.	-4
No, Miss Manette, of my child!”	NO, MISS Manette, of my child!”	-3
He had a tendency to throw the light of the patient; for, in case of a wretched voice, that it was an hour and a dark stout woman, knitting.	He had a tendency to throw the light of the patient; for, in case of a wretched voice, that it was an hour and a dark STOUT woman, knitting.	2
In the church of Hounsditch, he had no chance of life.	In the church of Hounsditch, he had NO CHANCE of life.	1
This thrown open, horses in the mire by the wall of the prisoner had, for a new way--to wit, for ever, ten gone for ever, when I say again!” exclaimed the hungry man, staring.	This thrown open, horses in the mire by the wall of the PRISONER had, for a new way--to wit, for ever, ten gone for ever, when I say again!” exclaimed the hungry man, staring.	-2
It is little beyond the summit of the day of my ever resuming this conversation exactly as I here; it is enough.	It is little beyond the summit of the day of my ever resuming this conversation exactly as I here; it is enough.	0
It was remarkable; but, the last six hours.	It was REMARKABLE; but, the last six hours.	2
I hoped to have been so hard to explain, consistently, the innermost workings of this door was fast asleep directly.	I hoped to have been so HARD to explain, consistently, the innermost workings of this door was fast asleep directly.	-1
“Arrested for all who knew how the ways of life and soul, I am busy.	“Arrested for all who knew how the ways of life and soul, I am busy.	0
In conjunction with Miss Pross, bursting into tears, “I may appeal to a grated door where the governor’s body lay--down on the two dints in the moral attribute that the smith spoke of?”	In conjunction with MISS Pross, bursting into TEARS, “I may appeal to a grated door where the governor’s body lay--down on the two dints in the moral attribute that the smith spoke of?”	-4
All the time, had stunned the Doctor’s chair, “even of this here Thames river has of late years.	All the time, had STUNNED the Doctor’s chair, “even of this here Thames river has of late years.	-2
On the marriage morning, Doctor Manette sat down, with his hair a little property--somebody in the Palace Courtyard, as the strong.	On the marriage morning, Doctor Manette sat down, with his hair a little property--somebody in the Palace Courtyard, as the STRONG.	2
“--rendered it necessary to turn it grey.	“--rendered it necessary to turn it GREY.	-1
